Profile_Name,Rating_Star,Headings,Base_Reviews,category
Anna Pettengill,4.0 out of 5 stars,Not too bad.... Considering,"Its a pretty good app, although, sometimes my messages come in late! Not too bad tho... Considering",user_experience
brezzzy90,5.0 out of 5 stars,Great,Great!!!!!!!!! Brezzzy,user_experience
Amazon Customer,3.0 out of 5 stars,Did not satisfy.,Would not work as I would have liked,user_experience
organized Mommy,1.0 out of 5 stars,ERROR,"worked great..... loved it until today I can't send messages. Error message every time I try and all my connections, WiFi, are working properly. So essentially useless unless this issue gets fixed.",issue
Yasmeen Barbour,5.0 out of 5 stars,Potato,Its a nice app. Now I can text my mom and friends. Only it needs WiFi.Ã°Å¸ËÂ³Ã°Å¸ËÂ³Ã°Å¸ËÂ³,user_experience
Jane,3.0 out of 5 stars,Not what I wanted,I will not use this product as it's not what I wanted.,user_experience
Kindle Customer,3.0 out of 5 stars,"Was Amazing...Now, Not So Much","Before the update, this was a great app, if a bit slow. Now, after the update, it is way slower, takes forever to load and sometimes I can't get into to inbox. However, I do love the new emoji things, those are adorable. If a few glitches were fixed, this app would be perfect.",issue
Ronnie Hunt,5.0 out of 5 stars,Love It,This is a nice tablet for the money. Go well with a Fire phone to.,user_experience
Amazon Customer,5.0 out of 5 stars,Five Stars,I love this app and I'm 9and I love texting.Ã°Å¸Ëï¿½,user_experience
Raoul Gaston,5.0 out of 5 stars,love it,This app comes in handy . it has bailed me out of a communication bind several times,user_experience
rick jones,5.0 out of 5 stars,Five Stars,great,user_experience
simone v.,5.0 out of 5 stars,grate app,You get to call friends in it but you have to have credits you get to talk about thing with friends that have the app or  a phone get the app if u really need to call someone,user_experience
alli,4.0 out of 5 stars,Love it,I can finally talk to my dad when I'm faraway and mom I also love the fact I can have fun with it.,user_experience
Angela,4.0 out of 5 stars,Really good,Didnt buy it free app. It's good if you have no phone but u have the internet you can download this app and use it like a phone.,user_experience
Amazon Junkie,1.0 out of 5 stars,One Star,Not really free.,user_experience
Jonille O. Darbyshire,2.0 out of 5 stars,Directions incomplete,Difficult to understand.  I need not directions.,user_experience
Erin Tyson,4.0 out of 5 stars,and I use it on my phone as well for situations where I might not want to share my regular number like with someone online that,"Very convenient app, I can use it to send texts from my Kindle fire on wifi, and I use it on my phone as well for situations where I might not want to share my regular number like with someone online that I don't know.",user_experience
Kindle Customer,4.0 out of 5 stars,Cool,"Awesome app but sorta hard to use, u see I have 2 Mayas when there's only supposed to be 1. Long story. Don't ask.",user_experience
pajama,5.0 out of 5 stars,Thank You TextMe creators,This application saved me so much time and money the creators of this application I want to personally thank you! I do not have the money for a cell phone your application has saved me so much money and you are so generous and I appreciate that again all I can say is thank you! Everyone try this application it's the only application that does not charge you all kinds of money to make phone calls with it! I love it thanks for your kindness and generosity because simply in no wise can afford a cell phone because I am extremely poor.,user_experience
Claire,5.0 out of 5 stars,Love it!,I love this app! Works great and love that the texting is free!,user_experience
Steven Schwartz,2.0 out of 5 stars,Two Stars,I deleted it.,feature
Seriously.,5.0 out of 5 stars,Great alternative for a Kindle Fire,"Was a bit unsure due to the reviews, which seemed to be either 5 stars or 1 star, with little in between.  Was not sure what to think!  However, it works beautifully on my Kindle Fire and gives me another phone number for my use.  It also accepts and records voicemail messages (when dialed instead of texted) which you can listen to on the Kindle Fire.",user_experience
Michael Paulino,5.0 out of 5 stars,So cool,I like to text emojie and words. So this is a great app.,user_experience
Natalie,4.0 out of 5 stars,it's ok butttttttttt..,I just wish it have complete free calling without having calling credit.,user_experience
Margaret,1.0 out of 5 stars,"It is not working for me, hard to understand ...","It is not working for me, hard to understand .  Right now I wouldn't advise anyone to try it  I will give it one shot.",issue
Lesa Atwood,5.0 out of 5 stars,Great,Love this app! Let's me keep in touch with those I love.,user_experience
Blackout436,5.0 out of 5 stars,"fabulous app here, great job. I'd give 6 stars if I could.",This app is awesome. I have had zero issues with this app. This app is one of my favorite texting/calling apps I've downloaded. I was wondering could you make this app be able to have the chance pay for unlimited minutes like Text Free?Thank you creators of Text Me for your hard work put into making this app.,user_experience
Amazon Customer,3.0 out of 5 stars,Use with a USB printer on a network?,It took 2 months to figure out how to  use as a phone which I'm still working on these future. Still trying to figuring how to use with a USB printer through my router,issue
Superstar Review,3.0 out of 5 stars,Three Stars,Not wht I thought,user_experience
Feline,5.0 out of 5 stars,i like this feature for my kindle fire,This app works really well for texting to another Mobil device. It has come in really handy for the person who does not have a cell phone at home and likes texting. Where ever there is accessible internet connection this app works.,user_experience
Amazon Customer,4.0 out of 5 stars,Not bad.,"works alright. sometimes call quality can be less than desired, but good overall.",user_experience
Kindle Customer,5.0 out of 5 stars,Five Stars,Very satisfied with the service I received.,user_experience
James Holland,1.0 out of 5 stars,ok,I tried to get in touch with my boyfriend and it got hacked HATE IT,issue
Sherry Ramirez,5.0 out of 5 stars,Awesome,Awesome and really free itCome s with 10 credits,user_experience
Betsey A Brackett,4.0 out of 5 stars,pretty good,So love the app it's so awesome I would TOTALLY get it but the only thing is that when I want the person on the other screen to see me it takes a long time to load hate that part but the rest is awesome,user_experience
B,3.0 out of 5 stars,Very useful,I dislike that you can't name contacts and don't have unlimited calling,issue
Kindle Customer,5.0 out of 5 stars,Works good.,Works pretty good on my kindle fire. Put it my sons kindle and now his mom and I can text him from our cell phone. It gives you 10 free credits. I've texted about 30 times and only used 3 credits. Haven't bought any yet.,user_experience
Doll Hunter,5.0 out of 5 stars,I'm only 10 and I love it!,I love it I can text my mom on my tablet! 5 starts its so amazing and I'm only 10! Wow I lo it so much but the emojis but i can text my family!,user_experience
Amazon Customer,4.0 out of 5 stars,Four Stars,Yes the kindle tablet is by far the best tablet to own,user_experience
Chloe,5.0 out of 5 stars,Texting on kindle HD,This works very well.,user_experience
Lorosener,3.0 out of 5 stars,No ringtone for my Kindle,"Can't get a ringtone on Kindle., so I don't know when somebody is calling.",issue
RFitch718,4.0 out of 5 stars,Great little app.,"Free text function works great. I have not tried the voice call part of the program yet, but I am really impressed by the SMS function of this app.",user_experience
Angela,4.0 out of 5 stars,Text on Kindle,I've been using this app to text on a Kindle Fire for several months with no major issues. Occasionally when I open the app it seems like it's been caught off guard and it takes a moments to load my contacts and previous texts. None of my contacts or  texts have been lost.I have not used the app to make calls.,user_experience
Nicole,1.0 out of 5 stars,Not worth it,Too many adds kids can get into plus you canÃ¢â¬â¢t text them from your own # you have to have the app as well!,issue
Hassan E  Ali,2.0 out of 5 stars,Good but there are some bugs...,"It is a good app, although it has never received a message with out me going to a different string and now it has stopped receiving altogether, but my friends can see what I text them. I hope you fix those bugs. Other than that it's a good app.",issue
fun game!,5.0 out of 5 stars,MPsizzle,This app is great thank you for creating it and helping me reach my friends.,user_experience
Richard Mansell,5.0 out of 5 stars,Love itÃ¢ï¿½Â¤Ã°Å¸ââ¢Ã°Å¸âÅ¡Ã°Å¸ââºÃ°Å¸âÅ,My mom will now let me stay home because she can check on me,user_experience
Kindle Customer,4.0 out of 5 stars,Text Me,I found it takes 45mins for my friends to get the message I sent. If it took 10mins it would be 5 Ã°Å¸ÅÅ¸,user_experience
