Profile_Name,Rating_Star,Headings,Base_Reviews,
Leslie J Adisman,3.0 out of 5 stars,"Looks like it does a good job, but wait........","After running this app it appears to do a big clean-up of unnecessary  and potentially virus contaminated files.  In reading some of the reviews I've learned that there's a charge to upgrade the App.  I've been looking for it, but I can't seem to find the price or even how to purchase the full version of this app.  The reviews are good, and I'd be interested in purchasing it if only I can find out where exactly.  If you're reading this could you please offer instructions on finding the full app?  I'll be writing another review once I have run the fee-based app.",
theancientone,3.0 out of 5 stars,Cleaner,Okay but  wonder about all the viruses it says it cleared where they came from,
nowhereman,5.0 out of 5 stars,"Works well on the Kindle, takes all your junk, etc.. And sped s up your kindle a bit, I recommendðŸ‘�",Good cleaning app,
John Lockwood,4.0 out of 5 stars,Happy,I am very happy with the results thank you.ðŸ˜Š,
Robert Oliver,4.0 out of 5 stars,Good basic cleaner,Seems to work fairly well. However I have still had some pop up ads telling me I have a virus even after just running the cleaner.,
judyb,5.0 out of 5 stars,Great App!,This app works great! Wish I had bought it sooner!,
Joy Layton,3.0 out of 5 stars,Works okey dokey,"Works good, but adds pop up a lot but no biggie.  It does help with my speed after I run it",
April,4.0 out of 5 stars,Newly downloaded.,It seems to be running smoother.,
K. Petersen,3.0 out of 5 stars,Not really free,"Good, although had to pay to use",
Kindle Customer,4.0 out of 5 stars,Fast,Cleaned up my memory really fast,
Anne,4.0 out of 5 stars,Great rescue,Nice and Quick!,
laurie bissinger,4.0 out of 5 stars,Easy use,Easy install and seems faster after first use,
Debbie Kasper,5.0 out of 5 stars,Love this cleaner,Great cleaner fast and very dependable easy to use. Always gets the job done.,
S. WELLFORD,5.0 out of 5 stars,Opmimer and trash cleaner,"Works great,my tablet will run smoothly.",
Kindle Customer,3.0 out of 5 stars,not sure,"If claims to have found viruses in 2 seconds, after a 20 minute mcafee scan found no threats",
Dana,4.0 out of 5 stars,ok so far,"So far there seems to be nothing wrong with it, but could have more",
Amazon Customer,1.0 out of 5 stars,Don't be fooled!,"Don't be fooled. This a free download, but costs 4.50 to use. Very misleading, I won't pay for something when I feal tricked.",
Dorothy L. Britt,5.0 out of 5 stars,Dorothy says it's great,This is a fantastic cleaning. Would recommend it highly,
val smith,2.0 out of 5 stars,Nope,"Interesting at first, and then it's ridiculous how many times this guy talks himself up and others down. A real turn off and it takes away from the subject matter.",
Curt Smith,1.0 out of 5 stars,Free version not useful,Doesn't actually do anything useful.  The free version is merely an ad for the paid version.,
Jon Terry,5.0 out of 5 stars,Five Stars,Works!!!!,
Amazon Customer,3.0 out of 5 stars,Working better.,My Fire seems to be responding Much better since  i downloaded this app.,
Bronx-Man,4.0 out of 5 stars,I recommend,"Easy app to use, and cleans temporary files very quickly.",
Ken,5.0 out of 5 stars,Working great,Working great,
daddy-o,3.0 out of 5 stars,Three Stars,Need to purchase cleaner to use.,
C D B II,4.0 out of 5 stars,Seems fine.,Seemed OK. I don't know if it does anything regarding viris',
Doris,5.0 out of 5 stars,Kindle cleaner,Did what it advertised to do. Very glad I got it....,
Tricia F,1.0 out of 5 stars,Huh? What?,"After buying this app, which I'm thinking is a scam....why do I have to leave a review to get updates? I paid for it, I should get updates no matter what! And after all I'm reading, I can't help but feeling more to the point of this being a scam. I'll be calling Amazon for a refund and suggest they may want to test their products that they recommend....just a thought?!?!The initial use was surprisingly fast, said I had 8 viruses..I'm thinking malware may be just the same and that's free!!!",
kalliope,5.0 out of 5 stars,Cleaner and Virus removal,This has been a great tool for my phone. Keeps my phone clean and Virus free!,
dodi,2.0 out of 5 stars,"I thought it was free, but in the end ...","I thought it was free, but in the end it cost me $4.29. I could download part of it for free, but in order to make it work, it needed another part for $4.29",
Richard K,2.0 out of 5 stars,Two Stars,not free to fix,
Carter B. Parks,5.0 out of 5 stars,perfect,Super fast and reusable. Great app.,
William FILIPPINI,4.0 out of 5 stars,Useful App,"Found this app to be easy to use, effective and provides understandable results.",
JandTsmom,1.0 out of 5 stars,To expensive.,After reading the other reviews I have to question the authenticity of this app. I'm certainly not paying $4.47 either.,
Brenda,5.0 out of 5 stars,Best I found for my kindle,I knew my kindle fire seemed to be slowing down & having a problem staying connected. But after installing this app so far everything seems to be running 100% better! Thanks for the help.,
Melika Elaine,5.0 out of 5 stars,Fantastic Buy!,Price is very reasonable for the protection it provides. I have a Kindle Fire. First scan revealed 9 viruses. Def recommend!,
Randy,1.0 out of 5 stars,Don't waist your time,It will tell you that there are a few things to do but then you have to buy the rest of the program to get it done.,
Donnag,1.0 out of 5 stars,One Star,couldn't get it to work,
ChynaDolle,4.0 out of 5 stars,Really like it ðŸ˜Š,This app is pretty good. Cleans out all the junk and boosts up my tablet a little more. ðŸ˜€,
Jason White,5.0 out of 5 stars,User friendly,"Recently purchased, hopefully it works well.",
Joseph R. Meli,5.0 out of 5 stars,Five Stars,Love it,
maggielove13,1.0 out of 5 stars,Doesn't clean anything!!!,I got this app because my tablet was super slow but all this app did was find stuff!!!!! It DID NOT clean anything at all!!!!!!!!!! DO NOT BUY THIS APP!!!!!,
handy50322,5.0 out of 5 stars,Good stuff,Doing the job!,
Franklin Graham,3.0 out of 5 stars,Ok,Ok so far... Will see if it lasts.. Do not like having to rate to get all features,
Warren Lange,5.0 out of 5 stars,Clean up software,Good cleaning on kindle fireNot to expensive in priceHelped speed up tablet,
Anne Briggs,5.0 out of 5 stars,Not Free!!,It says it's free but it isn't.,
Orin Sarabia,5.0 out of 5 stars,Perfect,Great app love it!,
Rafael Castillo,4.0 out of 5 stars,Cleaned more than CCleaner,I appreciate that it's specifically designed for the Fire tablet.,
ALBERT H ANTONIDES,4.0 out of 5 stars,Works well,It works well for a free app.  Would be nice if it was more robust in identifying problem files and how to fix them.,
Mona Doles,4.0 out of 5 stars,Optimizer,I do like this app it helps keep my apps running smooth. I would recommend it to others.,
Karen,5.0 out of 5 stars,Best cleaner out there!,Have used a few cleaners but this one really does the best job.,
Irena Tabor,3.0 out of 5 stars,Unsure,2 viruses found but files not shown from settings.  Cleaned after purchase?  Rate for features?  Dubious at this time... But we will see...,
Jadie Matthew,4.0 out of 5 stars,Does What it Promises,Quickly cleans the accumulated junk on your tablet. I usually regain 300 or more megabytes with each use.,
Joe,3.0 out of 5 stars,Tricks u into buying!,"Could be much, much, better.",
SuZee,5.0 out of 5 stars,Efficient app,"Worked great, tablet peppy now",
Marie Sweetland,5.0 out of 5 stars,Love it,Fast. Easy and very efficient.,
Rev Bruce,5.0 out of 5 stars,App happy!,"This app is doing exactly what it says it would do, what more can you ask for?Great app!",
kevin c murphy,4.0 out of 5 stars,Quick and easy!,This app is quick and frees up a good amount of storage! Definitly speeds up my tab.,
Lisa M. Garriott,5.0 out of 5 stars,Kindle cleaner,Works great,
johnson,3.0 out of 5 stars,um eh,maybe it hasn't worked yet? so I will give it another shot... if it lets me use it I will update review,
marty1,5.0 out of 5 stars,great,Great app to install.,
Lori P. Stiver,3.0 out of 5 stars,Easy to use,Seems easy to use but I have no idea if it is doing what it is supposed to.,
Patricia Watson,5.0 out of 5 stars,Good cleaner app,This is a good trash cleaner and it helps tablet work better.,
Kindle Customer,3.0 out of 5 stars,runs without any dashboard,Not free to actually use core feature. But that said seems to be effective at clean up.  No real way to track or measure effectiveness since no before and after diagnostics. Simply seat of pants impression that unit runs faster. Like chicken soup what can it hurt for 4 bucks!,
kab_Carr,5.0 out of 5 stars,I like this app,like this app! Ibetween this and ES task app they keep the fire pad running sharp,
Michelle Schaffner,5.0 out of 5 stars,spectacular app,Love this app. My Tablet is so much faster.,
Lindy Tagliaferri,4.0 out of 5 stars,Optimized for Amazon fire,The app seems to do a good job very quickly.  It does remove viruses and garbage.  You can see the difference between the before and after.,
Vanessa K Mason,5.0 out of 5 stars,This is what I wanted!,This is great ðŸ‘�!,
L.Peterson,5.0 out of 5 stars,Great app !,"Extremely easy &fast, worked great on my Kindle fire",
Judith McReynolds,4.0 out of 5 stars,Cleaner review,Review of First time used. Looking forward to clearing trash and faster response from kindle.,
ChgoGuy,5.0 out of 5 stars,Life Saver!!ðŸ˜Š,"I had the unfortunate experience of being connected with a poorly trained Kindle Tech Support Representative  on yesterday who led me down a path to a site he guaranteed would solve my issues. After downloading, my brand spanking new Kindle 10 started flashing a notice that I had to do certain things within a prescribed period of time if not my tablet would be locked. Between talking with the bad  representative calling back and  talking with a supervisor in total I spent 3 1/2 hours on the phone.  Moments ago I saw this app and decided to take the chance. Boy, did it payoff for me!  A total of three vicious viruses were found along with a ton of garbage and removed. If online with tech support and the agent appears to not have a clue, RUN!!!",
CarolBee,4.0 out of 5 stars,Works Great,Works great! Cleaned out 1G the 1st time I ran it & it only took a minute to run & clean. IF only everything in life were so easy!!!,
EJAKiel,5.0 out of 5 stars,So far so good,Used once so far and to my surprise found some viruses.  Will see how it continues to work.,
Sizz,5.0 out of 5 stars,Great little tool,I use it all the time. It's a nice little app for freeing up precious gigs.,
Paula,3.0 out of 5 stars,Good app,Hope it helps,
Jan,5.0 out of 5 stars,Wonderful product,This is a wonderful product. My kindle is working much faster..,
Jackie I Lutes,3.0 out of 5 stars,Same as below review,"I have the same opinion as the person below me, Confused!!!!",
Kindle Customer,5.0 out of 5 stars,Appearances,Appears to clean and refresh by removing the garbage.,
Audrey Woodruff,5.0 out of 5 stars,Five Stars,great tool to have - it really cleans,
Katina Knight,5.0 out of 5 stars,Five Stars,Really work,
Deborah Coban,5.0 out of 5 stars,My opinion,This app works like a charm. I'm pleased that in clears out the garbage and gets rid of viruses I  never knew I had! I'm recommending app to my family and friends.  D. Coban,
John Bartholomay,4.0 out of 5 stars,Good scanner,The paid version days it always find garbage & viruses,
S. Aiello,4.0 out of 5 stars,Seemless. Easy.,Seems to work. Who knows until it doesn't?,
Kindle Customer,5.0 out of 5 stars,Optimizers cleanser,Very pleased with the results of the cleanser and thanks.,
StevenG890,5.0 out of 5 stars,Trying out !!,I am trying this app out for the first time.  It seems straightforward.,
Louisa May,2.0 out of 5 stars,Hmm...,Would like to be able to see what is being removed from my Kindle.  Also wish that there was a risk free trial to use the app and not purchase if it doesn't seem worth the price.,
Kindle Customer,5.0 out of 5 stars,perfect for kindle,Very easy to use!,
C H,3.0 out of 5 stars,3viruses found,"So far OK, too soon to tell.",
Kindle Customer,4.0 out of 5 stars,Not bad but we'll see in a while.,It seems to work well but I'll know better after I've had a chance to use it a few more times.,
Kindle Customer,4.0 out of 5 stars,Looks good.so.far,This review is because it is required to get added.features,
